,camper_id,session_id,zipcode,county_id,county,state,state_long_name,cases_per_100k_county,date_county,positive_of_total_state,increase_per_100k_state,date_state
18,4539502,outer_banks_2,30601,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
19,4700291,blue_ridge_2,30606,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
20,4816533,,28715,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
21,5348457,session_4,27514,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
22,5348458,session_4,27514,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
23,5382352,session_3,28804,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
24,5499260,session_3,24015,51770,Roanoke city,VA,Virginia,33.71,2020-10-30,6.864456255429452,18.17,2020-10-31
25,5669450,session_3,32746,12117,Seminole,FL,Florida,48.22,2020-10-30,12.92678125844651,10.63,2020-10-31
26,5788673,outer_banks_2,19702,10003,New Castle,DE,Delaware,1343.14,2020-10-30,7.114059898268745,20.54,2020-10-31
27,5970522,session_3,28405,37129,New Hanover,NC,North Carolina,50.95,2020-10-30,6.772489147149948,26.74,2020-10-31
28,5972481,outer_banks_1,28205,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
29,5974454,session_3,23226,51087,Henrico,VA,Virginia,75.44,2020-10-30,6.864456255429452,18.17,2020-10-31
30,6013825,outer_banks_1,30601,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
31,6013826,session_3,30601,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
32,6082382,outer_banks_1,27516,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
33,6097815,session_3,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
34,6101856,blue_ridge_1,28803,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
35,6104754,outer_banks_1,29605,45045,Greenville,SC,South Carolina,347.54,2020-10-30,9.8006159651508,19.77,2020-10-31
36,6104885,session_3,29605,45045,Greenville,SC,South Carolina,347.54,2020-10-30,9.8006159651508,19.77,2020-10-31
37,6114696,session_3,28804,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
38,6123844,session_2,27298,37081,Guilford,NC,North Carolina,112.22,2020-10-30,6.772489147149948,26.74,2020-10-31
39,6139517,,30097,13121,Fulton,GA,Georgia,315.44,2020-10-30,10.059965525260193,24.16,2020-10-31
40,6199650,session_3,30606,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
41,6200370,session_3,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
42,6223045,session_3,31092,13081,Crisp,GA,Georgia,7.7,2020-10-30,10.059965525260193,24.16,2020-10-31
43,6226462,session_3,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
44,6293451,session_3,29407,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
45,6386404,outer_banks_1,29053,45063,Lexington,SC,South Carolina,176.67,2020-10-30,9.8006159651508,19.77,2020-10-31
46,6520683,session_4,28704,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
47,6593918,session_3,28718,37175,Transylvania,NC,North Carolina,4.1,2020-10-30,6.772489147149948,26.74,2020-10-31
48,6593921,session_3,28718,37175,Transylvania,NC,North Carolina,4.1,2020-10-30,6.772489147149948,26.74,2020-10-31
49,6617333,session_3_and_circumnavigate_grp_2-_base_camp_expedition,29401,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
50,6683618,outer_banks_1,28803,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
51,6880345,session_3,07701,34025,Monmouth,NJ,New Jersey,161.38,2020-10-30,5.109119079333675,15.35,2020-10-31
52,6904488,session_3,70115,22051,Jefferson,LA,Louisiana,404.08,2020-10-30,6.753662067590535,0.0,2020-10-31
53,6968070,session_3,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
54,6989904,session_4,28443,37141,Pender,NC,North Carolina,13.54,2020-10-30,6.772489147149948,26.74,2020-10-31
55,6994083,session_6,28211,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
56,6995111,outer_banks_2,60305,17031,Cook,IL,Illinois,1471.02,2020-10-30,5.3846096174508515,62.34,2020-10-31
57,7003884,session_4,27526,37183,Wake,NC,North Carolina,207.74,2020-10-30,6.772489147149948,26.74,2020-10-31
58,7019087,session_3,29455,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
59,7041260,session_3,28277,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
60,7055623,session_3,27513,37183,Wake,NC,North Carolina,207.74,2020-10-30,6.772489147149948,26.74,2020-10-31
61,7173141,session_3,27612,37183,Wake,NC,North Carolina,207.74,2020-10-30,6.772489147149948,26.74,2020-10-31
62,7180064,session_3,30307,13121,Fulton,GA,Georgia,315.44,2020-10-30,10.059965525260193,24.16,2020-10-31
63,7253500,session_3,38237,47183,Weakley,TN,Tennessee,23.71,2020-10-30,7.099349551293067,17.34,2020-10-31
64,7295061,session_3,30327,13121,Fulton,GA,Georgia,315.44,2020-10-30,10.059965525260193,24.16,2020-10-31
65,7295274,session_3,30327,13121,Fulton,GA,Georgia,315.44,2020-10-30,10.059965525260193,24.16,2020-10-31
66,7358767,session_4,27516,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
67,7435732,session_3,29501,45041,Florence,SC,South Carolina,109.89,2020-10-30,9.8006159651508,19.77,2020-10-31
68,7438144,session_3,29501,45041,Florence,SC,South Carolina,109.89,2020-10-30,9.8006159651508,19.77,2020-10-31
69,7439717,session_3,28715,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
70,7459747,session_3,27514,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
71,7459748,session_3,27514,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
72,7545555,outer_banks_1,29651,45045,Greenville,SC,South Carolina,347.54,2020-10-30,9.8006159651508,19.77,2020-10-31
73,7619176,session_3,10028,36061,,NY,New York,,,3.4931845455700614,10.53,2020-10-31
74,7668685,session_2,30606,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
75,7682182,session_2,28226,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
76,7692691,session_3,27244,37081,Guilford,NC,North Carolina,112.22,2020-10-30,6.772489147149948,26.74,2020-10-31
77,7704096,session_3,27244,37081,Guilford,NC,North Carolina,112.22,2020-10-30,6.772489147149948,26.74,2020-10-31
78,7725978,session_3,37204,47037,Davidson,TN,Tennessee,507.56,2020-10-30,7.099349551293067,17.34,2020-10-31
79,7738016,session_6,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
